Date,Clicks,Impressions,CTR,Position
2026-02-11,906,25643,3.53%,7.3
2026-02-12,795,25155,3.16%,7.5
2026-02-13,710,23131,3.07%,7
2026-02-14,840,24389,3.44%,6.9
2026-02-15,877,29900,2.93%,9.8
2026-02-16,969,30802,3.15%,8.2
2026-02-17,907,27490,3.3%,7.6
2026-02-18,934,23680,3.94%,7.2
2026-02-19,973,29887,3.26%,13.3
2026-02-20,955,24272,3.93%,6.7
2026-02-21,1022,23985,4.26%,6.6
2026-02-22,1145,29374,3.9%,8.6
2026-02-23,1127,33582,3.36%,7.2
2026-02-24,1151,32353,3.56%,7.4
2026-02-25,1102,26788,4.11%,6.9
2026-02-26,1102,28856,3.82%,6.5
2026-02-27,984,22942,4.29%,6.5
2026-02-28,1001,22381,4.47%,6.6
2026-03-01,1081,31105,3.48%,8.8
2026-03-02,1049,28923,3.63%,8.1
2026-03-03,1057,28029,3.77%,7.3
2026-03-04,1071,24611,4.35%,6.7
2026-03-05,1017,26455,3.84%,6.8
2026-03-06,885,23025,3.84%,7.3
2026-03-07,1078,24940,4.32%,7
2026-03-08,889,24472,3.63%,7.6
2026-03-09,1015,30598,3.32%,8.3
2026-03-10,944,24532,3.85%,7.3
2026-03-11,991,19149,5.18%,6.8
2026-03-12,1044,23589,4.43%,6.6
2026-03-13,922,21273,4.33%,7.5
2026-03-14,963,19332,4.98%,6.4
2026-03-15,907,23372,3.88%,6.7
2026-03-16,936,25132,3.72%,7.9
2026-03-17,952,17532,5.43%,7.1
2026-03-18,809,21209,3.81%,7.1
2026-03-19,848,21409,3.96%,6.9
2026-03-20,828,20041,4.13%,6.8
2026-03-21,803,20515,3.91%,7.2
2026-03-22,914,22704,4.03%,7.3
2026-03-23,859,25392,3.38%,7.1
2026-03-24,879,21621,4.07%,6.7
2026-03-25,821,22928,3.58%,6.7
2026-03-26,870,22193,3.92%,7.4
2026-03-27,828,24530,3.38%,7.4
2026-03-28,795,17284,4.6%,6.6
2026-03-29,835,19059,4.38%,7.1
2026-03-30,900,27014,3.33%,8
2026-03-31,806,21640,3.72%,6.8
2026-04-01,843,21066,4%,7.2
2026-04-02,836,19628,4.26%,7.2
2026-04-03,877,22245,3.94%,7.6
2026-04-04,848,18731,4.53%,7.6
2026-04-05,943,20759,4.54%,7.3
2026-04-06,979,26474,3.7%,8
2026-04-07,950,22260,4.27%,7
2026-04-08,940,21227,4.43%,7.1
2026-04-09,941,20890,4.5%,7.1
2026-04-10,813,18653,4.36%,6.6
2026-04-11,889,20281,4.38%,7.5
2026-04-12,918,19076,4.81%,7.4
2026-04-13,948,20632,4.59%,7.6
2026-04-14,948,17211,5.51%,6.6
2026-04-15,897,19413,4.62%,7.5
2026-04-16,868,18118,4.79%,7.1
2026-04-17,786,17326,4.54%,7.3
2026-04-18,941,20096,4.68%,8
2026-04-19,1042,21966,4.74%,7.4
2026-04-20,987,21274,4.64%,7.4
2026-04-21,919,18186,5.05%,6.6
2026-04-22,936,19911,4.7%,8
2026-04-23,898,20634,4.35%,7.1
2026-04-24,900,19118,4.71%,7
2026-04-25,916,21463,4.27%,8.2
2026-04-26,968,21322,4.54%,7.4
2026-04-27,961,22997,4.18%,8.4
2026-04-28,928,20662,4.49%,7.5
2026-04-29,902,23126,3.9%,12.2
2026-04-30,897,20776,4.32%,7.8
2026-05-01,874,21296,4.1%,7.9
2026-05-02,887,19601,4.53%,8.3
2026-05-03,891,20328,4.38%,8.1
2026-05-04,928,27788,3.34%,9.3
2026-05-05,837,18348,4.56%,7.3
2026-05-06,935,21739,4.3%,8.5
2026-05-07,832,18295,4.55%,7.3
2026-05-08,748,14504,5.16%,7.5
2026-05-09,734,16507,4.45%,9.8
2026-05-10,806,16161,4.99%,8.3
