Country,Clicks,Impressions,CTR,Position
Russia,74794,1623505,4.61%,6.99
Tajikistan,1588,10297,15.42%,4.57
Belarus,1052,21456,4.9%,7.59
Netherlands,591,14078,4.2%,8.05
Kazakhstan,418,45132,0.93%,9.25
Germany,330,15411,2.14%,9.53
Unknown Region,265,4260,6.22%,6.09
Armenia,225,11826,1.9%,6.57
Uzbekistan,183,14936,1.23%,7.32
Azerbaijan,168,13678,1.23%,6.73
Kyrgyzstan,168,12095,1.39%,6.68
Moldova,161,8325,1.93%,7
Georgia,155,5855,2.65%,6.46
United States,152,29753,0.51%,11.47
Ukraine,147,58989,0.25%,17.34
Poland,120,8308,1.44%,11.52
Latvia,105,5009,2.1%,7.5
Israel,84,5504,1.53%,7.64
Turkey,79,4474,1.77%,9.52
Finland,69,2960,2.33%,8.06
United Kingdom,63,4318,1.46%,9.19
Turkmenistan,63,4158,1.52%,5.76
France,55,3523,1.56%,12.3
Egypt,54,1589,3.4%,10.38
Estonia,53,2777,1.91%,7.15
Japan,47,4500,1.04%,9.79
Vietnam,47,4247,1.11%,8.38
Serbia,44,1963,2.24%,8.32
Thailand,43,2485,1.73%,8.48
Lithuania,40,1898,2.11%,7.15
Sweden,38,1913,1.99%,8.74
Norway,32,1700,1.88%,7.8
South Korea,27,3448,0.78%,7.99
Austria,27,1242,2.17%,8.86
Italy,23,2432,0.95%,16.31
Switzerland,23,1626,1.41%,8.42
United Arab Emirates,23,1549,1.48%,16
Bulgaria,22,2596,0.85%,9.62
Iran,22,1648,1.33%,8.95
Czechia,21,2827,0.74%,8.53
Hong Kong,21,1505,1.4%,9.59
Canada,17,2287,0.74%,8.56
China,16,1542,1.04%,6.15
Denmark,16,691,2.32%,7.55
Spain,15,3425,0.44%,19.42
Indonesia,15,1870,0.8%,9.55
Romania,13,1138,1.14%,11.96
Belgium,13,943,1.38%,7.65
Malaysia,12,751,1.6%,6.91
India,11,4241,0.26%,11.74
Brazil,11,2821,0.39%,9.01
Hungary,11,1141,0.96%,8.22
Montenegro,11,337,3.26%,6.68
Bangladesh,10,1428,0.7%,7.68
Argentina,10,1101,0.91%,8.86
Syria,10,487,2.05%,6.24
Qatar,10,300,3.33%,6.56
Cyprus,9,663,1.36%,7.46
Albania,9,274,3.28%,6.74
Saudi Arabia,7,1248,0.56%,11
Singapore,7,779,0.9%,8.58
Mali,6,117,5.13%,6.09
Slovakia,5,980,0.51%,8.52
Greece,5,837,0.6%,9.33
Sri Lanka,5,263,1.9%,6.7
Libya,5,211,2.37%,6.74
Colombia,4,869,0.46%,10.87
Peru,4,865,0.46%,6.5
Macedonia,4,441,0.91%,7
Nigeria,4,208,1.92%,8.98
Mongolia,4,184,2.17%,6.55
Pakistan,3,893,0.34%,6.88
Portugal,3,677,0.44%,13.15
Jordan,3,227,1.32%,7.25
Taiwan,2,1485,0.13%,11.6
Mexico,2,1414,0.14%,9.35
Philippines,2,1219,0.16%,8.18
Australia,2,845,0.24%,9.45
Chile,2,655,0.31%,8.12
Myanmar (Burma),2,405,0.49%,4.62
South Africa,2,356,0.56%,8.9
Bosnia & Herzegovina,2,178,1.12%,7.88
Slovenia,2,162,1.23%,8.12
Kenya,2,151,1.32%,7.6
Luxembourg,2,144,1.39%,8.45
Nepal,2,132,1.52%,7.42
Iceland,2,122,1.64%,8.18
Seychelles,2,50,4%,6.72
Ireland,1,559,0.18%,8.31
Ecuador,1,434,0.23%,6.02
Morocco,1,432,0.23%,26.44
Iraq,1,399,0.25%,6.78
Algeria,1,341,0.29%,7.18
New Zealand,1,238,0.42%,8.41
Panama,1,219,0.46%,5.85
Venezuela,1,213,0.47%,7.27
Guatemala,1,161,0.62%,7.35
Oman,1,153,0.65%,6.58
Lebanon,1,120,0.83%,11.26
Tunisia,1,119,0.84%,7.83
Bolivia,1,117,0.85%,5.64
Nicaragua,1,74,1.35%,7.24
Maldives,1,70,1.43%,6.9
Palestine,1,63,1.59%,10.03
Zimbabwe,1,53,1.89%,7.38
Madagascar,1,46,2.17%,14.72
Cuba,1,45,2.22%,5.89
Central African Republic,1,36,2.78%,5.92
Senegal,1,32,3.12%,8.84
Equatorial Guinea,1,23,4.35%,5.78
Togo,1,18,5.56%,7
Congo - Brazzaville,1,17,5.88%,5
Sudan,1,10,10%,20
U.S. Virgin Islands,1,9,11.11%,6.44
Antigua & Barbuda,1,8,12.5%,4.25
Faroe Islands,1,7,14.29%,6.86
St. Kitts & Nevis,1,6,16.67%,7.67
Croatia,0,315,0%,9.32
Paraguay,0,202,0%,5.69
Kuwait,0,170,0%,6.76
Cambodia,0,147,0%,7
Costa Rica,0,134,0%,6.59
Uruguay,0,128,0%,6.8
Dominican Republic,0,123,0%,6.89
Macau,0,101,0%,7.97
Malta,0,83,0%,6.71
Bahrain,0,83,0%,6.99
El Salvador,0,80,0%,5.56
Honduras,0,77,0%,6.36
Kosovo,0,76,0%,7.96
South Sudan,0,74,0%,5.24
Brunei,0,70,0%,5.37
Afghanistan,0,67,0%,7.28
Tanzania,0,65,0%,6.2
Côte d’Ivoire,0,63,0%,12.76
Puerto Rico,0,51,0%,8.25
Ethiopia,0,45,0%,9.33
Mauritania,0,38,0%,3.89
Mauritius,0,38,0%,9.18
Ghana,0,37,0%,10.38
Uganda,0,31,0%,6.81
Laos,0,31,0%,9.55
Andorra,0,28,0%,8.82
Yemen,0,28,0%,9.18
Congo - Kinshasa,0,27,0%,7.37
Angola,0,27,0%,8.04
Barbados,0,26,0%,5.27
Cameroon,0,24,0%,6.67
Trinidad & Tobago,0,22,0%,6.05
Jamaica,0,19,0%,5.79
Mozambique,0,19,0%,6.63
Haiti,0,18,0%,7.56
Somalia,0,17,0%,6.06
Guinea,0,16,0%,5.88
Zambia,0,16,0%,6.56
Gabon,0,12,0%,6.42
Bahamas,0,12,0%,7.08
Rwanda,0,11,0%,5.45
Papua New Guinea,0,10,0%,6.7
Guinea-Bissau,0,10,0%,7.1
St. Lucia,0,10,0%,8.1
Fiji,0,10,0%,8.2
Åland Islands,0,9,0%,4.67
Guyana,0,9,0%,5.33
Guam,0,9,0%,6.67
Grenada,0,8,0%,4.25
Monaco,0,8,0%,7.38
Lesotho,0,7,0%,5
Réunion,0,7,0%,5.57
Greenland,0,7,0%,6.71
Liberia,0,7,0%,7.71
Cape Verde,0,7,0%,8.29
Bhutan,0,7,0%,9.14
Gibraltar,0,7,0%,11.29
Burkina Faso,0,7,0%,15.57
Suriname,0,6,0%,4
Guadeloupe,0,6,0%,4.17
Botswana,0,6,0%,4.67
Benin,0,6,0%,4.83
Liechtenstein,0,6,0%,5.33
Curaçao,0,6,0%,8.17
St. Helena,0,5,0%,5.4
Kiribati,0,5,0%,5.6
Antarctica,0,5,0%,7
Namibia,0,5,0%,7.2
Chad,0,5,0%,10.8
British Virgin Islands,0,4,0%,3.5
Malawi,0,4,0%,7.25
Martinique,0,4,0%,7.5
Sierra Leone,0,4,0%,9.25
Bermuda,0,4,0%,9.5
Western Sahara,0,4,0%,14.5
North Korea,0,3,0%,3.33
Niger,0,3,0%,3.67
French Polynesia,0,3,0%,3.67
Eritrea,0,3,0%,4.33
Svalbard & Jan Mayen,0,3,0%,5
Turks & Caicos Islands,0,3,0%,5
San Marino,0,3,0%,5.67
Sint Maarten,0,3,0%,6.33
Belize,0,3,0%,7
Swaziland,0,3,0%,7
Dominica,0,3,0%,17
Cayman Islands,0,2,0%,4.5
Guernsey,0,2,0%,4.5
Northern Mariana Islands,0,2,0%,8
Djibouti,0,2,0%,9
Isle of Man,0,1,0%,1
New Caledonia,0,1,0%,1
French Guiana,0,1,0%,2
Palau,0,1,0%,2
Samoa,0,1,0%,3
Aruba,0,1,0%,4
Micronesia,0,1,0%,4
Jersey,0,1,0%,4
Caribbean Netherlands,0,1,0%,6
Gambia,0,1,0%,6
Solomon Islands,0,1,0%,9
St. Martin,0,1,0%,10
Burundi,0,1,0%,12
Anguilla,0,1,0%,16
Vanuatu,0,1,0%,20
St. Vincent & Grenadines,0,1,0%,29
