Top pages,Clicks,Impressions,CTR,Position
https://tempus.ru/,6475,64695,10.01%,8.22
https://tempus.ru/catalog/watches/casio/,1942,163019,1.19%,8.34
https://tempus.ru/catalog/watches/seiko/,1449,72703,1.99%,6.86
https://tempus.ru/catalog/watches/orient/,936,56819,1.65%,8.41
https://tempus.ru/catalog/watches/seiko/seiko_5/,865,11051,7.83%,4.74
https://tempus.ru/catalog/watches/casio/g_shock/,848,84915,1%,8.2
https://tempus.ru/catalog/watches/casio/casio_collections/casio_f_91w_1q/,674,18511,3.64%,3.87
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b195d_1a/,509,3615,14.08%,4.6
https://tempus.ru/catalog/watches/casio/edifice/,504,34884,1.44%,8.25
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s108d_1a/,502,5028,9.98%,4.03
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_158wa_1/,456,111759,0.41%,8.72
https://tempus.ru/catalog/watches/citizen/,427,27937,1.53%,7.75
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_2100_1a/,409,5981,6.84%,5.45
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a1/,391,18652,2.1%,8.65
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_159w_n1/,361,15211,2.37%,8.63
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1200wh_1a/,356,6189,5.75%,4.76
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b100d_1a/,349,2925,11.93%,5.34
https://tempus.ru/catalog/watches/casio/g_shock/casio_gmw_b5000d_1e/,333,4799,6.94%,5.01
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_168wa_1_/,326,8777,3.71%,5.48
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a/,315,12028,2.62%,7.06
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_200_1e/,295,6254,4.72%,5.88
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_abl_100we_1a/,265,3201,8.28%,5.6
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbx_100_1e/,254,3506,7.24%,5.11
https://tempus.ru/catalog/watches/tissot/,244,63365,0.39%,12.13
https://tempus.ru/catalog/watches/casio/casio_vintage/,243,14683,1.65%,8
https://tempus.ru/catalog/watches/casio/casio_collections/casio_w_221h_1a/,239,2361,10.12%,4.6
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1375d_1a/,237,2186,10.84%,4.47
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b100_1a/,234,4153,5.63%,6.37
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_200_2e/,233,3599,6.47%,4.13
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b195l_1a/,213,2006,10.62%,4.91
https://tempus.ru/catalog/watches/casio/edifice/casio_efs_s570d_1a/,210,2363,8.89%,5.71
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mq_24_1e/,209,2816,7.42%,4.39
https://tempus.ru/catalog/watches/casio/g_shock/casio_dw_h5600_2e/,205,2301,8.91%,5.1
https://tempus.ru/catalog/watches/seiko/seiko_5_sports/,197,6713,2.93%,6.72
https://tempus.ru/catalog/watches/casio/g_shock/casio_g_5600ue_1e/,195,2446,7.97%,4.51
https://tempus.ru/catalog/watches/casio/casio_protrek/,193,7896,2.44%,6.85
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s108d_3a/,191,2086,9.16%,5.27
https://tempus.ru/catalog/watches/tissot/prx/,186,9848,1.89%,7.35
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mdv_107d_1a1/,185,1961,9.43%,4.15
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b190d_7b/,184,1419,12.97%,3.68
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1183a_1a/,183,5554,3.29%,5.2
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1302d_1a1/,183,3576,5.12%,5.29
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbm_2100_1a/,181,1866,9.7%,5.19
https://tempus.ru/catalog/watches/casio/casio_collections/casio_w_800h_1a/,178,4771,3.73%,4.82
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b400d_1a/,176,2124,8.29%,5.17
https://tempus.ru/catalog/watches/luch/,174,11784,1.48%,7.91
https://tempus.ru/catalog/watches/casio/g_shock/casio_gpr_h1000_1e/,166,1891,8.78%,4.97
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1374d_1a/,164,2545,6.44%,4.41
https://tempus.ru/catalog/watches/casio/edifice/casio_efk_100d_7a/,163,1353,12.05%,4.44
https://tempus.ru/catalog/watches/orient/automatic/,159,3995,3.98%,6.59
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_b2100_3a/,157,1978,7.94%,4.46
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2300_1a/,156,3275,4.76%,6.89
https://tempus.ru/catalog/watches/casio/edifice/casio_efk_100d_3a/,150,1485,10.1%,5.09
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1183a_2a/,149,2422,6.15%,5.18
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_526d_1a/,149,2409,6.19%,6.65
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b145d_4a2/,149,1723,8.65%,4.04
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_100d_1a/,146,1791,8.15%,4.52
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_640d_1a/,146,1369,10.66%,4.16
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b400_1a/,145,2482,5.84%,5.77
https://tempus.ru/catalog/watches/casio/g_shock/casio_mtg_b3000_1a/,145,2255,6.43%,5.82
https://tempus.ru/catalog/watches/casio/g_shock/casio_gba_900_1a/,144,2139,6.73%,5.51
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s108d_2a/,142,1393,10.19%,4.79
https://tempus.ru/catalog/watches/q_q/,141,4058,3.47%,6.57
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_m5610u_1b/,135,1891,7.14%,5.49
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b195d_3a/,133,637,20.88%,4.37
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b185d_1a/,132,1053,12.54%,4.55
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_9500_1e/,131,1662,7.88%,4.9
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_aq_230a_1d/,130,3784,3.44%,7.12
https://tempus.ru/catalog/watches/casio/casio_collections/casio_w_221h_1b/,130,1242,10.47%,4.45
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_aq_240e_3a/,130,901,14.43%,4.98
https://tempus.ru/catalog/watches/skagen/,129,7267,1.78%,8.22
https://tempus.ru/catalog/watches/casio/edifice/casio_efk_100cd_1a/,129,3142,4.11%,7.04
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mrw_200h_1b/,126,2133,5.91%,4.62
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v007l_7b1/,123,3222,3.82%,5.58
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_m305d_1a/,123,1576,7.8%,5.44
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prj_b001_5e/,123,1312,9.38%,4.7
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_5600_1e/,122,3037,4.02%,5.95
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_aq_240e_7a/,122,1053,11.59%,5.03
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1200whd_1a/,121,2312,5.23%,5.69
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_159wa_n1/,120,3556,3.37%,6.97
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_1000m_1b/,118,1620,7.28%,4.84
https://tempus.ru/catalog/watches/detskie/,116,15451,0.75%,6.9
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_5000u_1e/,115,2137,5.38%,5.56
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v007d_7b/,115,1516,7.59%,5.44
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mq_24_7b/,114,1697,6.72%,4.31
https://tempus.ru/catalog/watches/casio/g_shock/casio_dw_5000r_1a/,114,1140,10%,4.05
https://tempus.ru/catalog/watches/casio/g_shock/casio_mtg_b4000_1a/,114,1069,10.66%,5.19
https://tempus.ru/catalog/watches/casio/edifice/casio_efs_s650d_2a/,114,920,12.39%,4.08
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b600_1a/,113,1386,8.15%,5.46
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prw_35_1a/,110,2264,4.86%,7.58
https://tempus.ru/catalog/watches/casio/casio_collections/casio_amw_880_1a/,110,1878,5.86%,4.74
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_b5600_2e/,108,1947,5.55%,4.51
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_9400_1E/,107,2043,5.24%,5.32
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_1100d_1a/,107,964,11.1%,3.66
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s108de_8a/,107,689,15.53%,4.14
https://tempus.ru/catalog/watches/casio/g_shock/casio_gwg_1000_1a3/,106,2271,4.67%,5.07
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_b2100d_1a/,105,1476,7.11%,6.07
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1381d_1a/,105,1364,7.7%,4.9
https://tempus.ru/catalog/watches/casio/casio_collections/casio_w_59_1/,104,2610,3.98%,5.48
https://tempus.ru/catalog/watches/casio/oceanus/,103,2607,3.95%,7.89
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_300_1e/,103,1247,8.26%,5.15
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_h2000_1b/,103,1226,8.4%,4.84
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s108de_2a/,103,656,15.7%,3.97
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1500wh_1a/,102,2274,4.49%,4.32
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b145d_3a/,102,1319,7.73%,7.73
https://tempus.ru/catalog/watches/tissot/tissot_prx/,101,10775,0.94%,8.42
https://tempus.ru/catalog/watches/casio/protrek/,101,5722,1.77%,8.05
https://tempus.ru/catalog/watches/casio/g_shock/casio_gg_1000_1a/,101,2543,3.97%,6.09
https://tempus.ru/catalog/watches/casio/g_shock/casio_gg_b100_1a/,100,2295,4.36%,5.81
https://tempus.ru/catalog/watches/casio/g_shock/casio_gx_56bb_1d/,100,1533,6.52%,5.85
https://tempus.ru/catalog/watches/casio/casio_collections/casio_aq_800e_1a/,100,1045,9.57%,5.22
https://tempus.ru/catalog/watches/citizen/eco_drive/,99,5102,1.94%,7.82
https://tempus.ru/catalog/watches/casio/g_shock/casio_mtg_b1000_1a/,99,1865,5.31%,6.19
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b145d_2a2/,99,1028,9.63%,4.73
https://tempus.ru/brands/,97,7911,1.23%,2.03
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v007d_1e/,97,2941,3.3%,5.06
https://tempus.ru/catalog/watches/casio/casio_collections/casio_f_105w_1a/,97,2800,3.46%,4.33
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_ca_53w_1/,97,2300,4.22%,5.26
https://tempus.ru/catalog/watches/casio/edifice/casio_efs_s570dc_1a/,97,927,10.46%,4.43
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_110_1a/,96,1441,6.66%,5.95
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_168wemb_1b/,96,804,11.94%,5.66
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_m5610u_1e/,95,2096,4.53%,6.53
https://tempus.ru/catalog/watches/casio/g_shock/casio_dw_h5600_1e/,95,1284,7.4%,5.67
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v009d_4e/,95,1280,7.42%,7.63
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b190d_1b/,94,767,12.26%,4.27
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_bx5600_1e/,93,714,13.03%,6.5
https://tempus.ru/catalog/watches/casio/detskie/,91,2602,3.5%,8.14
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_200sm_1a5/,91,1251,7.27%,6.45
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_2000d_1a/,91,835,10.9%,4.86
https://tempus.ru/catalog/watches/casio/g_shock/casio_gwg_2000_1a3/,90,1438,6.26%,4.65
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mdv_10_1a1/,88,1859,4.73%,7.74
https://tempus.ru/catalog/watches/casio/g_shock/casio_gd_b500_1e/,88,940,9.36%,4.98
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_b5600bc_1b/,88,897,9.81%,5.24
https://tempus.ru/catalog/watches/casio/g_shock/casio_gg_b100_1a3/,87,1379,6.31%,6.33
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1384d_1a/,86,3481,2.47%,5.46
https://tempus.ru/catalog/watches/Citizen/Citizen_Tsuyosa/,86,2349,3.66%,5.85
https://tempus.ru/catalog/watches/casio/g_shock/casio_gwg_b1000_1a/,86,1412,6.09%,6.48
https://tempus.ru/catalog/watches/casio/g_shock/casio_gd_350_1b/,86,978,8.79%,4.94
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1370d_1a2/,86,871,9.87%,5.65
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mdv_107d_3a/,86,729,11.8%,4.87
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_e735d_1a/,85,765,11.11%,3.95
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1600h_8b/,84,1004,8.37%,4.32
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_640dc_3a/,84,645,13.02%,3.82
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prw_b1000_5e/,83,1080,7.69%,5.5
https://tempus.ru/catalog/watches/casio/g_shock/casio_gmc_b2100y_1a/,82,697,11.76%,4.81
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mts_rs100d_1a/,81,1020,7.94%,5
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_526l_1a/,81,1014,7.99%,5.37
https://tempus.ru/catalog/watches/casio/edifice/casio_efb_109d_1a/,81,903,8.97%,4.02
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_2110d_2b/,81,832,9.74%,5.73
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b205m_1e/,81,516,15.7%,2.78
https://tempus.ru/catalog/watches/daniel_klein/,80,6002,1.33%,7.46
https://tempus.ru/catalog/watches/casio/casio_collections/casio_w_218h_1a/,80,1786,4.48%,4.37
https://tempus.ru/catalog/watches/casio/casio_collections/casio_amw_870_1a/,80,1348,5.93%,5.78
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_950db_1a/,80,963,8.31%,5.14
https://tempus.ru/catalog/watches/casio/zhenskie/,79,18872,0.42%,9.91
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_vc01d_1e/,79,833,9.48%,4.81
https://tempus.ru/catalog/watches/emporio_armani/,78,12717,0.61%,9.31
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_100_1a1/,78,5252,1.49%,6.22
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prj_b001_1e/,78,2721,2.87%,6.76
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_900db_1a/,78,1758,4.44%,6.44
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_vd03d_2a/,78,1022,7.63%,4.7
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1303d_1a/,76,795,9.56%,5.47
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b600d_1a/,76,737,10.31%,5.93
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prg_340_3e/,75,1395,5.38%,5.68
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_v001d_1b/,75,1194,6.28%,8.47
https://tempus.ru/catalog/watches/casio/g_shock/casio_gmc_b2100d_1a/,75,701,10.7%,5.82
https://tempus.ru/catalog/watches/diesel/,74,9910,0.75%,9.81
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1500wh_8b/,74,1669,4.43%,4.65
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v007d_4e/,74,1384,5.35%,14.4
https://tempus.ru/catalog/watches/casio/edifice/casio_efb_730d_2a/,74,1004,7.37%,3.95
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_2110d_3a/,74,820,9.02%,5.21
https://tempus.ru/catalog/watches/casio/edifice/casio_efk_100d_2a/,73,1660,4.4%,7.18
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b146d_7a/,73,839,8.7%,4.91
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_m305d_7a/,73,692,10.55%,6.28
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_575l_7a/,73,641,11.39%,6.07
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_m305l_1a/,73,579,12.61%,4.45
https://tempus.ru/catalog/watches/casio/lineage/casio_lcw_m100tse_1a/,72,1328,5.42%,6.07
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mrw_230h_1e1/,72,1035,6.96%,4.74
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mdv_10d_1a1/,72,1006,7.16%,4.42
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_aq_230gg_9a/,72,514,14.01%,4.12
https://tempus.ru/catalog/watches/casio/edifice/casio_ef_539d_1a/,71,1077,6.59%,4.49
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b500d_1a1/,71,815,8.71%,4.89
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_s10d_8a/,71,708,10.03%,4.53
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_2300d_1a/,71,639,11.11%,5.24
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_v004d_1b2/,71,520,13.65%,4
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1302ds_7a/,71,511,13.89%,4.36
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_552d_1a/,70,6666,1.05%,9.74
https://tempus.ru/catalog/watches/casio/casio_collections/,70,3627,1.93%,6.4
