Top queries,Clicks,Impressions,CTR,Position
tempus,2091,5990,34.91%,3.47
темпус,1153,3521,32.75%,3.58
tempus часы,561,936,59.94%,2.16
темпус часы,502,985,50.96%,2.52
темпус ру,437,476,91.81%,1.03
seiko 5,349,3965,8.8%,3.84
часы касио,323,33454,0.97%,7.5
seiko,216,16986,1.27%,7.11
tissot prx,195,13539,1.44%,7.23
часы casio,152,14622,1.04%,7.47
seiko часы,150,8099,1.85%,6.02
casio f91w,150,4047,3.71%,3.29
g-shock,146,20002,0.73%,6.53
casio mq 24,144,1282,11.23%,3.73
часы seiko,132,6546,2.02%,6.53
casio часы,121,16686,0.73%,7.69
g shock,114,9091,1.25%,6.09
tempus ru,113,156,72.44%,3.37
citizen,110,10120,1.09%,7.9
casio edifice,107,9678,1.11%,6.97
часы ориент,106,4546,2.33%,7.21
orient,100,8692,1.15%,8
касио часы,95,12882,0.74%,7.61
часы сейко,87,3098,2.81%,5.84
casio edifice efr-s108d,82,807,10.16%,4.27
tempus магазин часов,82,127,64.57%,2.5
casio f-91w,79,1733,4.56%,2.96
casio protrek,76,2266,3.35%,5.42
еуьзгы кг,76,100,76%,3.67
casio vintage,75,3482,2.15%,6.31
orient часы,75,3453,2.17%,6.49
часы seiko мужские,67,2628,2.55%,5.62
casio mtp b195d,67,343,19.53%,3.06
citizen tsuyosa,64,2750,2.33%,5.76
часы сейко мужские,63,1764,3.57%,4.72
casio,62,43738,0.14%,6.75
купить часы,62,2656,2.33%,8.91
часы orient,61,3967,1.54%,8.32
casio ga 2100,60,1222,4.91%,4.27
casio w-221h купить,59,604,9.77%,4.08
ориент часы,58,2612,2.22%,6.72
темпус шоп,57,84,67.86%,5.83
магазин tempus,56,110,50.91%,2.58
темпус магазин часов,53,94,56.38%,1.73
seiko 5 sports,52,2257,2.3%,7.32
casio a1000,52,647,8.04%,3.71
seiko купить,51,982,5.19%,6.36
casio a159w,50,720,6.94%,4.67
gbd 200,50,536,9.33%,3.38
casio tempus,50,144,34.72%,1.65
купить часы seiko,49,910,5.38%,4.98
casio a168,48,1576,3.05%,6.08
сейко 5,48,521,9.21%,4.5
купить часы casio,47,2478,1.9%,10.59
seiko 5 automatic,47,675,6.96%,3.97
еуьзгы,46,121,38.02%,2.83
mtp-b195l-1av,45,151,29.8%,3.7
часы касио мужские,44,8476,0.52%,8.11
casio edifice eqb-2000db-1aer,44,1285,3.42%,2.48
casio gbd 200,44,685,6.42%,3.86
casio w221h,44,623,7.06%,5.44
casio abl-100we-1a,44,406,10.84%,5.59
casio ae1200,43,705,6.1%,4.54
casio a158w,42,546,7.69%,2.47
