"Поисковая система","Поисковая система (детально)","Поисковая фраза","Страница входа","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Итого и средние","","","","169144","140540","0.0786371375869082","3.217258667171168","00:03:05","839","1.3865727E7","0.004959442151700583"
"Google","Google, результаты поиска","Не определено","https://tempus.ru/","6669","2562","0.07542360173939121","9.004498425551057","00:09:02","160","2812644.0","0.04605776736924279"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/","4153","4152","0.02022634240308211","2.2046713219359497","00:01:50","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/orient/","3770","3750","0.016180371352785147","2.542440318302387","00:01:57","1","15869.0","2.666666666666667E-4"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/luch/","3590","3587","0.005849582172701951","2.434818941504178","00:01:53","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/tissot/","3527","3521","0.01559398922597108","2.388432095265098","00:01:52","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/casio/edifice/","3520","3514","0.010227272727272727","2.4170454545454545","00:01:53","1","7729.0","2.845759817871372E-4"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/timex/","3444","3442","0.006097560975609756","2.4256678281068527","00:01:54","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/orient/orient_star/","3408","3408","0.003521126760563381","2.432805164319249","00:01:57","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","Не определено","https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a1/","3334","3316","0.0032993401319736052","2.084883023395321","00:02:02","1","8026.0","3.0156815440289503E-4"
