"Страница входа, ур. 1","Страница входа, ур. 2","Страница входа, ур. 3","Страница входа, ур. 4","Страница входа","Источник трафика (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Итого и средние","","","","","","","335734","256513","0.10404367743511232","3.1932869474047907","00:03:01","1555","2.8445417E7","0.005036781761548148"
"https://tempus.ru/","Не определено","Не определено","Не определено","https://tempus.ru/","Google","Не определено","6858","2579","0.07509477981918927","8.962379702537183","00:08:54","161","2823038.0","0.045754168282279954"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/?ybaip=1","Яндекс: Директ","Не определено","6398","4167","0.15239137230384495","3.6095654892153797","00:02:41","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/?ybaip=1","Не определено","Не определено","https://tempus.ru/?ybaip=1","Яндекс: Директ","Не определено","5829","3414","0.18665294218562362","4.585863784525648","00:03:14","9","91696.0","0.0017574692442882249"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","Не определено","https://tempus.ru/catalog/watches/","Яндекс","Не определено","4153","4152","0.02022634240308211","2.2046713219359497","00:01:50","0","0.0","0.0"
"https://tempus.ru/","Не определено","Не определено","Не определено","https://tempus.ru/","Не определено","Не определено","3931","2620","0.2571864665479522","6.1483083184940215","00:05:15","75","2093709.0","0.0232824427480916"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/","Яндекс","Не определено","3771","3751","0.016441262264651285","2.5420312914346326","00:01:57","1","15869.0","2.6659557451346307E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/luch/","https://tempus.ru/catalog/watches/luch/","Яндекс","Не определено","3591","3588","0.005847953216374269","2.4349763297131717","00:01:53","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/","Яндекс","Не определено","3530","3524","0.01614730878186969","2.3872521246458924","00:01:52","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/edifice/","Яндекс","Не определено","3521","3515","0.010508378301618859","2.416642999147969","00:01:53","1","7729.0","2.844950213371266E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/timex/","https://tempus.ru/catalog/watches/timex/","Яндекс","Не определено","3444","3442","0.006097560975609756","2.4256678281068527","00:01:54","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/orient_star/","Яндекс","Не определено","3408","3408","0.003521126760563381","2.432805164319249","00:01:57","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a1/","Яндекс","Не определено","3334","3316","0.0032993401319736052","2.084883023395321","00:02:02","1","8026.0","3.0156815440289503E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","Не определено","https://tempus.ru/catalog/watches/","Google","Не определено","3102","3087","0.006769825918762089","2.6792392005157963","00:02:49","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/","Google","Не определено","3001","2933","0.01766077974008664","3.2002665778073975","00:03:07","3","109083.0","6.818956699624957E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_vintage/","Яндекс","Не определено","2878","2877","0.010076441973592774","2.4489228630993747","00:01:57","1","4433.0","3.475842891901286E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_protrek/","Яндекс","Не определено","2872","2869","0.006963788300835655","2.4655292479108635","00:01:58","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/edifice/","Google","Не определено","2856","2797","0.021708683473389355","3.0434173669467786","00:02:56","3","55622.0","0.0010725777618877368"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a1/","Google","Не определено","2830","2708","0.0353356890459364","2.610600706713781","00:03:18","5","73868.0","0.001846381093057607"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","Не определено","https://tempus.ru/catalog/watches/","Дзен","Не определено","2692","2690","0.0018573551263001483","2.5427191679049033","00:02:37","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/","Google","Не определено","2674","2630","0.013089005235602094","2.9091249065071056","00:02:56","2","34230.0","7.604562737642585E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/luch/","https://tempus.ru/catalog/watches/luch/","Google","Не определено","2670","2633","0.013108614232209739","2.752808988764045","00:02:48","2","64520.0","3.7979491074819596E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","Не определено","https://tempus.ru/catalog/watches/","mail.ru","Не определено","2658","2658","0.002257336343115124","2.5797592174567345","00:02:40","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/timex/","https://tempus.ru/catalog/watches/timex/","Google","Не определено","2583","2577","0.010065814943863724","2.7820363917924893","00:02:49","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/f/muzhskie/orient/","Яндекс","Не определено","2549","2549","0.003530796390741467","2.4029030992546097","00:01:59","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/orient_star/","Google","Не определено","2494","2491","0.006014434643143544","2.759823576583801","00:02:53","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/f/casio/nerzhaveyushchaya-stal/","Яндекс","Не определено","2387","2387","0.002932551319648094","2.413908671973188","00:02:02","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/f/casio/zheltoe-zoloto/","Яндекс","Не определено","2369","2369","0.0029548332629801607","2.4373153229210636","00:02:05","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_vintage/","Google","Не определено","2339","2326","0.01923899102180419","2.884138520735357","00:03:01","2","4941.0","8.598452278589853E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/f/zhenskie/tissot/","Яндекс","Не определено","2314","2314","0.0038893690579083835","2.427830596369922","00:02:05","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_protrek/","Google","Не определено","2270","2242","0.00881057268722467","2.898678414096916","00:03:00","1","14671.0","4.4603033006244426E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/luch/","https://tempus.ru/catalog/watches/luch/","Дзен","Не определено","2201","2201","0.003634711494775102","2.700590640617901","00:02:43","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/","mail.ru","Не определено","2190","2190","0.0031963470319634705","2.717808219178082","00:02:45","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/luch/","https://tempus.ru/catalog/watches/luch/","mail.ru","Не определено","2178","2178","0.0032139577594123047","2.7350780532598713","00:02:43","0","0.0","0.0"
"https://tempus.ru/","Не определено","Не определено","Не определено","https://tempus.ru/","Яндекс: Директ","Не определено","2136","1131","0.12172284644194757","7.27808988764045","00:06:01","50","1067729.0","0.04155614500442087"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/","Дзен","Не определено","2124","2123","0.0023540489642184556","2.693973634651601","00:02:40","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/timex/","https://tempus.ru/catalog/watches/timex/","mail.ru","Не определено","2075","2075","0.004337349397590362","2.743132530120482","00:02:48","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/citizen/","https://tempus.ru/catalog/watches/citizen/?ybaip=1","Яндекс: Директ","Не определено","2074","1469","0.17695274831243973","3.5703953712632592","00:02:51","3","59598.0","0.0020422055820285907"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/edifice/","mail.ru","Не определено","2063","2063","0.003877847794474067","2.681047018904508","00:02:41","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a1/","Дзен","Не определено","2062","2062","0.0033947623666343357","2.5950533462657615","00:03:10","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/timex/","https://tempus.ru/catalog/watches/timex/","Дзен","Не определено","2060","2060","0.003883495145631068","2.7640776699029126","00:02:51","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/orient_star/","mail.ru","Не определено","2056","2056","0.0019455252918287938","2.7607003891050583","00:02:49","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100_1a1/","mail.ru","Не определено","2046","2046","0.006842619745845551","2.5850439882697946","00:03:08","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/edifice/","Дзен","Не определено","2013","2013","0.001987083954297069","2.7014406358668652","00:02:36","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/","Дзен","Не определено","2013","2013","0.003477396920019871","2.758569299552906","00:02:44","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/orient_star/","Дзен","Не определено","1995","1995","0.0030075187969924814","2.7609022556390976","00:02:55","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/tissot/","https://tempus.ru/catalog/watches/tissot/","mail.ru","Не определено","1985","1985","0.0015113350125944584","2.758690176322418","00:02:49","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/seiko/","https://tempus.ru/catalog/watches/seiko/?ybaip=1","Яндекс: Директ","Не определено","1925","1312","0.15168831168831168","4.056103896103896","00:03:22","1","80980.0","7.621951219512195E-4"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_protrek/","Дзен","Не определено","1858","1858","0.0032292787944025836","2.8035522066738428","00:02:55","0","0.0","0.0"
